id,title,year
600,Annie Hall,1977
601,The Patriot,2000
602,Kick-Ass 2,2013
603,The Jungle Book,2016
604,Phone Booth,2002
605,Hannibal,2001
606,Panic Room,2002
607,The A-Team,2010
608,Coco,2017
609,Unknown,2011
610,Almost Famous,2000
611,Olympus Has Fallen,2013
612,Dredd,2012
613,Contact,1997
614,Vanilla Sky,2001
615,Jagten,2012
616,Before Sunrise,1995
617,Non-Stop,2014
618,Terminator Genisys,2015
619,Gone Baby Gone,2007
620,Snowpiercer,2013
621,My Neighbour Totoro,1988
622,Red Dragon,2002
623,Resident Evil,2002
624,A Quiet Place,2018
625,The Nice Guys,2016
626,Ice Age 2: The Meltdown,2006
627,Zoolander,2001
628,Chronicle,2012
629,The World's End,2013
630,Scent of a Woman,1992
631,The Grey,2011
632,Total Recall,2012
633,Road to Perdition,2002
634,2 Fast 2 Furious,2003
635,Dark Shadows,2012
636,Van Helsing,2004
637,Lincoln,2012
638,Pride & Prejudice,2005
639,Noah,2014
640,Beetlejuice,1988
641,Vicky Cristina Barcelona,2008
642,The Adjustment Bureau,2011
643,Battleship,2012
644,Office Space,1999
645,Atonement,2007
646,The Accountant,2016
647,The Descendants,2011
648,American Pie 2,2001
649,8 Mile,2002
650,Beauty and the Beast,2017
651,The Village,2004
652,The Place Beyond the Pines,2012
653,Blade,1998
654,Blow,2001
655,Kong: Skull Island,2017
656,Changeling,2008
657,Kung Fu Panda 2,2011
658,GoldenEye,1995
659,Warcraft: The Beginning,2016
660,Enemy at the Gates,2001
661,Corpse Bride,2005
662,Crank,2006
663,Seven Psychopaths,2012
664,Predestination,2014
665,Jerry Maguire,1996
666,Dawn of the Dead,2004
667,RocknRolla,2008
668,Paul,2011
669,The Other Guys,2010
670,Sunshine,2007
671,Sucker Punch,2011
672,Boogie Nights,1997
673,Lethal Weapon,1987
674,Batman Forever,1995
675,True Lies,1994
676,The Boondock Saints,1999
677,Dances with Wolves,1990
678,I Am Number Four,2011
679,Perfume: The Story of a Murderer,2006
680,Rush Hour,1998
681,Dog Day Afternoon,1975
682,The Reader,2008
683,Saw II,2005
684,The Artist,2011
685,Jumanji: Welcome to the Jungle,2017
686,Hachi: A Dog's Tale,2009
687,The Fountain,2006
688,Batman & Robin,1997
689,Alien: Covenant,2017
690,Don Jon,2013
691,Mrs. Doubtfire,1993
692,The Blair Witch Project,1999
693,Mulan,1998
694,The Fast and the Furious: Tokyo Drift,2006
695,Some Like It Hot,1959
696,The Sting,1973
697,Pitch Black,2000
698,Pirates of the Caribbean: Salazar's Revenge,2017
699,The Holiday,2006
700,Eastern Promises,2007
701,Scary Movie,2000
702,Rango,2011
703,21,2008
704,Lawless,2012
705,The Goonies,1985
706,Enemy of the State,1998
707,The Bucket List,2007
708,21 Grams,2003
709,RoboCop,1987
710,Role Models,2008
711,Valkyrie,2008
712,A Few Good Men,1992
713,The Twilight Saga: Breaking Dawn - Part 2,2012
714,Spy,2015
715,Dodgeball: A True Underdog Story,2004
716,Chappie,2015
717,Kingsman: The Golden Circle,2017
718,Moonlight,2016
719,Hook,1991
720,Walk the Line,2005
721,End of Watch,2012
722,Ender's Game,2013
723,A History of Violence,2005
724,Moana,2016
725,Escape Plan,2013
726,The Twilight Saga: Eclipse,2010
727,"Me, Myself & Irene",2000
728,Final Destination,2000
729,Warm Bodies,2013
730,Knowing,2009
731,The Ides of March,2011
732,Grown Ups,2010
733,Ghost Rider,2007
734,Paranormal Activity,2007
735,Alien: Resurrection,1997
736,The Lone Ranger,2013
737,Identity,2003
738,Stranger Than Fiction,2006
739,Thank You for Smoking,2005
740,Creed,2015
741,The Little Mermaid,1989
742,Disturbia,2007
743,The Twilight Saga: Breaking Dawn - Part 1,2011
744,The Beach,2000
745,Gandhi,1982
746,Amores Perros,2000
747,The Road,2009
748,RoboCop,2014
749,Austin Powers: International Man of Mystery,1997
750,Star Trek Beyond,2016
751,National Treasure: Book of Secrets,2007
752,Finding Dory,2016
753,Philadelphia,1993
754,The Tourist,2010
755,Das Boot,1981
756,Now You See Me 2,2016
757,The Chronicles of Riddick,2004
758,Bad Boys II,2003
759,Megamind,2010
760,Grease,1978
761,Old School,2003
762,Before Sunset,2004
763,Bad Boys,1995
764,Bridget Jones's Diary,2001
765,Transcendence,2014
766,Garden State,2004
767,Manchester by the Sea,2016
768,Austin Powers: The Spy Who Shagged Me,1999
769,Silent Hill,2006
770,The Great Escape,1963
771,Kiss Kiss Bang Bang,2005
772,Planet of the Apes,2001
773,Clerks,1994
774,The Adventures of Tintin: The Secret of the Unicorn,2011
775,Contagion,2011
776,Rambo,2008
777,Hotel Transylvania,2012
778,The Passion of the Christ,2004
779,Shakespeare in Love,1998
780,For a Few Dollars More,1965
781,Chicago,2002
782,First Blood,1982
783,Halloween,1978
784,Just Go with It,2011
785,Dogma,1999
786,Ben-Hur,1959
787,Natural Born Killers,1994
788,Ice Age: Dawn of the Dinosaurs,2009
789,Body of Lies,2008
790,Munich,2005
791,Predators,2010
792,The Elephant Man,1980
793,Daredevil,2003
794,The Girl with the Dragon Tattoo,2009
795,What's Eating Gilbert Grape,1993
796,Yip Man,2008
797,Southpaw,2015
798,Insurgent,2015
799,The Lincoln Lawyer,2011
800,No Strings Attached,2011
801,Gangster Squad,2013
802,Cowboys & Aliens,2011
803,Maze Runner: The Scorch Trials,2015
804,Mars Attacks!,1996
805,Cinema Paradiso,1988
806,Sinister,2012
807,Let the Right One In,2008
808,Romeo + Juliet,1996
809,Mr. Nobody,2009
810,Nocturnal Animals,2016
811,Meet Joe Black,1998
812,Oz the Great and Powerful,2013
813,Teenage Mutant Ninja Turtles,2014
814,G.I. Joe: The Rise of Cobra,2009
815,American Reunion,2012
816,P.S. I Love You,2007
817,Finding Neverland,2004
818,Singin' in the Rain,1952
819,Anger Management,2003
820,Sully: Miracle on the Hudson,2016
821,Jodaeiye Nader az Simin,2011
822,War for the Planet of the Apes,2017
823,Die Another Day,2002
824,Safe House,2012
825,Match Point,2005
826,The Girl Next Door,2004
827,White House Down,2013
828,Rio,2011
829,Closer,2004
830,Master and Commander: The Far Side of the World,2003
831,Get Smart,2008
832,Focus,2015
833,Cube,1997
834,The Ugly Truth,2009
835,Grave of the Fireflies,1988
836,Airplane!,1980
837,Planet Terror,2007
838,Minions,2015
839,How to Lose a Guy in 10 Days,2003
840,A Good Day to Die Hard,2013
841,Death Race,2008
842,A Walk to Remember,2002
843,True Romance,1993
844,The Intern,2015
845,Traffic,2000
846,Rocky Balboa,2006
847,San Andreas,2015
848,Jason Bourne,2016
849,Ace Ventura: When Nature Calls,1995
850,"I Love You, Man",2009
851,Pain & Gain,2013
852,Mamma Mia!,2008
853,Butch Cassidy and the Sundance Kid,1969
854,Carlito's Way,1993
855,The Number 23,2007
856,The Happening,2008
857,Blade II,2002
858,Lara Croft: Tomb Raider,2001
859,Modern Times,1936
860,A Series of Unfortunate Events,2004
861,Rush Hour 2,2001
862,Big Daddy,1999
863,Remember the Titans,2000
864,The Bridge on the River Kwai,1957
865,The Conjuring 2,2016
866,Annihilation,2018
867,Napoleon Dynamite,2004
868,The Descent,2005
869,Austin Powers in Goldmember,2002
870,EuroTrip,2004
871,Machete,2010
872,Cloudy with a Chance of Meatballs,2009
873,Hansel & Gretel: Witch Hunters,2013
874,American Pie: The Wedding,2003
875,A Nightmare on Elm Street,1984
876,"South Park: Bigger, Longer & Uncut",1999
877,Ghostbusters,2016
878,After Earth,2013
879,2 Guns,2013
880,Bad Teacher,2011
881,Underworld: Evolution,2006
882,What Women Want,2000
883,The Internship,2013
884,The Purge,2013
885,Elf,2003
886,Run Lola Run,1998
887,Happy Gilmore,1996
888,Transporter 2,2005
889,Everest,2015
890,Blue Jasmine,2013
891,Madagascar: Escape 2 Africa,2008
892,Project X,2012
893,Hercules,1997
894,Hanna,2011
895,The Sound of Music,1965
896,Dark City,1998
897,Drag Me to Hell,2009
898,The Hitchhiker's Guide to the Galaxy,2005
899,Don't Breathe,2016
900,Tarzan,1999
901,Ghost,1990
902,Coraline,2009
903,You Don't Mess with the Zohan,2008
904,Big,1988
905,You've Got Mail,1998
906,Revolutionary Road,2008
907,The Chronicles of Narnia: Prince Caspian,2008
908,The Great Dictator,1940
909,The Croods,2013
910,Mad Max,1979
911,The World Is Not Enough,1999
912,A Fistful of Dollars,1964
913,When Harry Met Sally...,1989
914,It Follows,2014
915,Lo imposible,2012
916,Sunset Blvd.,1950
917,Resident Evil: Apocalypse,2004
918,Sleepers,1996
919,Brazil,1985
920,Tinker Tailor Soldier Spy,2011
921,The Raid,2011
922,Orphan,2009
923,Fantastic Mr. Fox,2009
924,Gremlins,1984
925,Resident Evil: Extinction,2007
926,Fast & Furious 8,2017
927,Harold & Kumar Get the Munchies,2004
928,How the Grinch Stole Christmas,2000
929,The Vow,2012
930,Wrath of the Titans,2012
931,Bolt,2008
932,Unstoppable,2010
933,The Taking of Pelham 123,2009
934,Ice Age: Continental Drift,2012
935,Lion,2016
936,Jurassic World: Fallen Kingdom,2018
937,Chef,2014
938,AVP: Alien vs. Predator,2004
939,Dirty Dancing,1987
940,Dracula,1992
941,Shame,2011
942,Grindhouse,2007
943,Solo: A Star Wars Story,2018
944,Life,2017
945,Godzilla,1998
946,Swordfish,2001
947,Sideways,2004
948,El secreto de sus ojos,2009
949,Knight and Day,2010
950,Secret Window,2004
951,Side Effects,2013
952,Chocolat,2000
953,Blue Valentine,2010
954,Battle Los Angeles,2011
955,The Evil Dead,1981
956,K-PAX,2001
957,Cruel Intentions,1999
958,Tomorrow Never Dies,1997
959,This Means War,2012
960,Eagle Eye,2008
961,The Golden Compass,2007
962,Rosemary's Baby,1968
963,Fracture,2007
964,Rocky II,1979
965,The Bank Job,2008
966,Cinderella Man,2005
967,Who Framed Roger Rabbit,1988
968,The Next Three Days,2010
969,Air Force One,1997
970,Ghost in the Shell,2017
971,Ying xiong,2002
972,The Promise,2016
973,Love & Other Drugs,2010
974,The Blues Brothers,1980
975,17 Again,2009
976,G.I. Joe: Retaliation,2013
977,Hell or High Water,2016
978,xXx,2002
979,Saw III,2006
980,Stargate,1994
981,Zack and Miri Make a Porno,2008
982,Jupiter Ascending,2015
983,Close Encounters of the Third Kind,1977
984,The Boy in the Striped Pyjamas,2008
985,Ghostbusters II,1989
986,Miss Congeniality,2000
987,The Last King of Scotland,2006
988,The Greatest Showman,2017
989,Robin Hood: Prince of Thieves,1991
990,Murder on the Orient Express,2017
991,The Lobster,2015
992,The Woman in Black,2012
993,Adaptation.,2002
994,Waterworld,1995
995,The English Patient,1996
996,The Babadook,2014
997,Surrogates,2009
998,The Life Aquatic with Steve Zissou,2004
999,Enchanted,2007
1000,Percy Jackson & the Lightning Thief,2010
1001,25th Hour,2002
1002,Dracula Untold,2014
1003,Shrek Forever After,2010
1004,The Hunt for Red October,1990
1005,The Darjeeling Limited,2007
1006,The Magnificent Seven,2016
1007,Straight Outta Compton,2015
1008,Rocky IV,1985
1009,Charlie's Angels,2000
1010,Taken 3,2014
1011,Get Him to the Greek,2010
1012,Chicken Run,2000
1013,Jarhead,2005
1014,Twister,1996
1015,Ronin,1998
1016,Hidden Figures,2016
1017,Misery,1990
1018,The Judge,2014
1019,Assassin's Creed,2016
